OCRE,Side,Legend
ric.2.tr.432,obverse,IMP CAES NERVA TRAIAN AVG GERM P M
ric.2.tr.432,reverse,TR POT COS III P P S C
ric.2.tr.433,obverse,IMP CAES NERVA TRAIAN AVG GERM P M
ric.2.tr.433,reverse,TR POT COS III P P S C
ric.2.tr.434,obverse,IMP CAES NERVA TRAIAN AVG GERM P M
ric.2.tr.434,reverse,TR POT COS III P P S C
ric.2.tr.435,obverse,IMP CAES NERVA TRAIAN AVG GERM P M
ric.2.tr.435,reverse,TR POT COS III P P S C
ric.2.tr.436,obverse,IMP CAES NERVA TRAIAN AVG GERM P M
ric.2.tr.436,reverse,TR POT COS III P P S C
ric.2.tr.437,obverse,IMP CAES NERVA TRAIAN AVG GERM P M
ric.2.tr.437,reverse,TR POT COS III P P S C
ric.2.tr.438,obverse,IMP CAES NERVA TRAIAN AVG GERM P M
ric.2.tr.438,reverse,P M TR P COS III P P
ric.2.tr.439,obverse,IMP CAES NERVA TRAIAN AVG GERM P M
ric.2.tr.439,reverse,FIDES EXERCIT S C
ric.2.tr.440,obverse,IMP CAES NERVA TRAIAN AVG GERM P M
ric.2.tr.440,reverse,FORTVNA AVGVSTI S C
ric.2.tr.441,obverse,IMP CAES NERVA TRAIAN AVG GERM P M
ric.2.tr.441,reverse,FORTVNAE AVGVSTI S C
ric.2.tr.442,obverse,IMP CAES NERVA TRAIAN AVG GERM P M
ric.2.tr.442,reverse,S C
ric.2.tr.443,obverse,IMP CAES NERVA TRAIAN AVG GERM P M
ric.2.tr.443,reverse,S C
ric.2.tr.444,obverse,IMP CAES NERVA TRAIAN AVG GER DAC P M TR P VII
ric.2.tr.444,reverse,IMP IIII COS IIII DES V P P S C
ric.2.tr.445,obverse,IMP CAES NERVA TRAIAN AVG GERM P M TR P VI
ric.2.tr.445,reverse,IMP IIII COS IIII DES V P P S C
ric.2.tr.446,obverse,IMP CAES NERVA TRAIAN AVG GERM P M TR P VI
ric.2.tr.446,reverse,IMP IIII COS IIII DES V P P S C
ric.2.tr.447,obverse,IMP CAES NERVA TRAIAN AVG GERM DACICVS P M
ric.2.tr.447,reverse,IMP IIII COS IIII DES V P P S C
ric.2.tr.448,obverse,IMP CAES NERVA TRAIAN AVG GERM DACICVS P M
ric.2.tr.448,reverse,TR P VII IMP IIII COS IIII DES V P P S C
ric.2.tr.449,obverse,IMP CAES NERVA TRAIAN AVG GERM DACICVS P M
ric.2.tr.449,reverse,TR P VII IMP IIII COS IIII DES V P P S C
ric.2.tr.450,obverse,IMP CAES NERVA TRAIAN AVG GERM DACICVS P M
ric.2.tr.450,reverse,COS V CONGIAR SECVND S C
ric.2.tr.451,obverse,IMP CAES NERVA TRAIAN AVG GERM DACICVS P M
ric.2.tr.451,reverse,TR P VII IMP IIII COS V P P S C
ric.2.tr.452,obverse,IMP CAES NERVA TRAIAN AVG GERM DACICVS P M
ric.2.tr.452,reverse,TR P VII IMP IIII COS V P P S C
ric.2.tr.453,obverse,IMP CAES NERVA TRAIAN AVG GERM DACICVS P M
ric.2.tr.453,reverse,TR P VII IMP IIII COS V P P S C
ric.2.tr.454,obverse,IMP CAES NERVA TRAIAN AVG GERM DACICVS P M
ric.2.tr.454,reverse,TR P VII IMP IIII COS V P P S C
ric.2.tr.455,obverse,IMP CAES NERVA TRAIAN AVG GERM DACICVS P M
ric.2.tr.455,reverse,TR P VII IMP IIII COS V P P S C
ric.2.tr.456,obverse,IMP CAES NERVA TRAIAN AVG GERM DACICVS P M
ric.2.tr.456,reverse,TR P VII IMP IIII COS V P P S C
ric.2.tr.457,obverse,IMP CAES NERVA TRAIAN AVG GERM DACICVS P M
ric.2.tr.457,reverse,TR P VII IMP IIII COS V P P S C
ric.2.tr.458,obverse,IMP CAES NERVA TRAIAN AVG GERM DACICVS P M
ric.2.tr.458,reverse,TR P VII IMP IIII COS V P P S C
ric.2.tr.459_sestertius,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS V P P
ric.2.tr.459_sestertius,reverse,S P Q R OPTIMO PRINCIPI S C ALIM ITAL
ric.2.tr.459_as,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS V P P
ric.2.tr.459_as,reverse,S P Q R OPTIMO PRINCIPI S C ALIM ITAL
ric.2.tr.460,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS V P P
ric.2.tr.460,reverse,S P Q R OPTIMO PRINCIPI S C ALIM ITAL
ric.2.tr.461_sestertius,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS V P P
ric.2.tr.461_sestertius,reverse,S P Q R OPTIMO PRINCIPI S C ALIM ITAL
ric.2.tr.461_as,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS V P P
ric.2.tr.461_as,reverse,S P Q R OPTIMO PRINCIPI S C ALIM ITAL
ric.2.tr.462,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS V P P
ric.2.tr.462,reverse,S P Q R OPTIMO PRINCIPI S C ALIM ITAL
ric.2.tr.463_sestertius,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS V P P
ric.2.tr.463_sestertius,reverse,S P Q R OPTIMO PRINCIPI S C AQVA TRAIANA
ric.2.tr.463_as,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS V P P
ric.2.tr.463_as,reverse,S P Q R OPTIMO PRINCIPI S C AQVA TRAIANA
ric.2.tr.464,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS V P P
ric.2.tr.464,reverse,S P Q R OPTIMO PRINCIPI S C AQVA TRAIANA
ric.2.tr.465,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS V P P
ric.2.tr.465,reverse,S P Q R OPTIMO PRINCIPI S C ARAB ADQ
ric.2.tr.466_sestertius,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS V P P
ric.2.tr.466_sestertius,reverse,S P Q R OPTIMO PRINCIPI S C ARAB ADQVIS
ric.2.tr.466_as,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS V P P
ric.2.tr.466_as,reverse,S P Q R OPTIMO PRINCIPI S C ARAB ADQVIS
ric.2.tr.467,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS V P P
ric.2.tr.467,reverse,S P Q R OPTIMO PRINCIPI S C ARAB ADQVIS
ric.2.tr.468,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS V P P
ric.2.tr.468,reverse,S P Q R OPTIMO PRINCIPI S C ARAB ADQVISIT
ric.2.tr.469,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS V P P
ric.2.tr.469,reverse,CONGIARIVM TERTIVM S C
ric.2.tr.470,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS V P P
ric.2.tr.470,reverse,S P Q R OPTIMO PRINCIPI S C ITALIA REST
ric.2.tr.471,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS V P P
ric.2.tr.471,reverse,PORTVM TRAIANI S C
ric.2.tr.472,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS V P P
ric.2.tr.472,reverse,S P Q R OPTIMO PRINCIPI S C REST ITAL
ric.2.tr.473,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS V P P
ric.2.tr.473,reverse,S P Q R OPTIMO PRINCIPI S C REST ITALIA
ric.2.tr.474,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS V P P
ric.2.tr.474,reverse,S P Q R OPTIMO PRINCIPI S C ROMA REST
ric.2.tr.475,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS V P P
ric.2.tr.475,reverse,SENATVS POPVLVSQVE ROMANVS S C
ric.2.tr.476_sestertius,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS V P P
ric.2.tr.476_sestertius,reverse,S P Q R OPTIMO PRINCIPI
ric.2.tr.476_as,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS V P P
ric.2.tr.476_as,reverse,S P Q R OPTIMO PRINCIPI
ric.2.tr.476A,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS V P P
ric.2.tr.476A,reverse,S P Q R OPTIMO PRINCIPI
ric.2.tr.477,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS V P P
ric.2.tr.477,reverse,S P Q R OPTIMO PRINCIPI
ric.2.tr.478,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS V P P
ric.2.tr.478,reverse,S P Q R OPTIMO PRINCIPI S C
ric.2.tr.479_sestertius,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS V P P
ric.2.tr.479_sestertius,reverse,S P Q R OPTIMO PRINCIPI S C
ric.2.tr.479_as,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS V P P
ric.2.tr.479_as,reverse,S P Q R OPTIMO PRINCIPI S C
ric.2.tr.480,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS V P P
ric.2.tr.480,reverse,S P Q R OPTIMO PRINCIPI S C
ric.2.tr.481,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS V P P
ric.2.tr.481,reverse,S P Q R OPTIMO PRINCIPI S C
ric.2.tr.482_sestertius,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS V P P
